Feature,Correlation
lease_renewal_approaching,0.7539897475260049
tenure_risk,0.7414951657730678
months_in_lease,0.5315480764744597
risk_score,0.5063798900847148
market_expansion_potential,0.42676714112549785
population_growth_pct,0.42676714112549524
ecommerce_growth_pct,0.4003145563657018
retail_sector_growth_pct,0.3246793416681143
usd_inflation_zimbabwe_pct,0.25212788950193643
currency_volatility_impact,0.24599206507270321
high_rent_burden,0.24301769738390908
market_saturation,0.24095393017166464
commercial_vacancy_rate_pct,0.24095393017166422
financial_stress,0.2305695042847565
power_outages_this_month,0.20967373622737903
fuel_price_usd_per_liter,0.1930181904252741
fuel_impact_on_traffic,0.19038829066471497
rent_ratio_6mo_avg,0.1872006891433092
unemployment_rate,0.17995926858753894
rent_to_sales_ratio,0.17959479248727928
property_churn_rate,0.13452984995964906
category_churn_rate,0.08050988314701106
square_footage_sqm,0.07791236723408598
late_payments_ytd,0.0673287706309853
ecommerce_threat,0.06658665736501804
monthly_rent_usd,0.04821358746960135
poor_performance,0.03856660836210318
property_avg_rent_ratio,0.03540035117165815
property_encoded,0.021564525222963506
payment_issues,0.021206656731560948
category_encoded,0.020350584079941544
location_encoded,-0.000883752371261288
foot_traffic_trend_6mo,-0.0058263764389346
location_churn_history,-0.00818287581590662
property_type_encoded,-0.01324034477556285
sales_trend_6mo,-0.014187939320386157
property_avg_sales,-0.06496672631786121
rent_per_sqm_usd,-0.06995260830728373
category_avg_sales,-0.07184771156671275
wage_growth_pct,-0.09272929461642913
consumer_spending_index,-0.14400267599693492
sales_volatility,-0.1558452988003594
gdp_growth_pct,-0.16269209420281858
avg_monthly_foot_traffic,-0.17148538464885937
interest_rate_burden,-0.1741058868891677
foot_traffic_6mo_avg,-0.17551418373890298
foot_traffic_3mo_avg,-0.17657373370291043
sales_vs_property_avg,-0.21409620896222148
sales_6mo_avg,-0.21584469474552928
sales_3mo_avg,-0.21881943648762786
avg_monthly_sales_usd,-0.22392281402982675
resilience_score,-0.24697443132331193
performance_under_stress,-0.2657430391480085
consumer_confidence_index,-0.3247302300428161
interest_rate_pct,-0.3588151078381828
lease_length_months,-0.4830624274153994
months_until_lease_end,-0.7181735389760536
